epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,188.659,0.67786,0.5259,0.85567,0.88412,0.87831,0.88275,0.73575,0.69726,0.50987,0.84931,0.000627331,0.000627331,0.000627331
87,190.856,0.73592,0.56469,0.84586,0.97958,0.80423,0.88157,0.69579,0.79555,0.54525,0.84842,0.0006179,0.0006179,0.0006179
88,193.025,0.68134,0.55384,0.84644,0.98307,0.8303,0.89175,0.75572,0.61151,0.44833,0.84093,0.000608468,0.000608468,0.000608468
89,195.17,0.691,0.56343,0.8411,0.87652,0.87374,0.88766,0.7196,0.72441,0.48666,0.84175,0.000599037,0.000599037,0.000599037
90,197.339,0.68706,0.55789,0.84933,0.9821,0.84127,0.9048,0.72984,0.70248,0.50339,0.84344,0.000589605,0.000589605,0.000589605
91,199.502,0.66393,0.56418,0.86321,0.98658,0.83725,0.91348,0.75173,0.72085,0.48706,0.85168,0.000580174,0.000580174,0.000580174
92,201.724,0.70045,0.55006,0.85342,0.97802,0.87121,0.9089,0.76962,0.66539,0.48832,0.85379,0.000570743,0.000570743,0.000570743
93,203.881,0.67332,0.54353,0.85835,0.9772,0.85311,0.91497,0.74035,0.71521,0.50421,0.84275,0.000561311,0.000561311,0.000561311
94,206.022,0.67432,0.53459,0.85311,0.98481,0.87831,0.90411,0.7317,0.76836,0.48106,0.85093,0.00055188,0.00055188,0.00055188
95,208.217,0.67471,0.55411,0.83512,0.97986,0.87153,0.9062,0.74863,0.69187,0.4991,0.86281,0.000542448,0.000542448,0.000542448
96,210.373,0.68005,0.55695,0.8379,0.97506,0.83612,0.8876,0.70035,0.80043,0.49406,0.84321,0.000533017,0.000533017,0.000533017
97,212.55,0.65651,0.5324,0.85028,0.96036,0.84127,0.91201,0.76655,0.66217,0.46649,0.83921,0.000523586,0.000523586,0.000523586
98,214.723,0.61146,0.48412,0.83108,0.96509,0.84127,0.90283,0.75268,0.67497,0.4505,0.85223,0.000514154,0.000514154,0.000514154
99,216.924,0.6309,0.50268,0.84403,0.97817,0.84127,0.93035,0.72267,0.80838,0.50244,0.86463,0.000504723,0.000504723,0.000504723
100,219.06,0.65639,0.5051,0.84841,0.98521,0.84127,0.92144,0.7589,0.66587,0.4531,0.86209,0.000495291,0.000495291,0.000495291
101,221.214,0.67526,0.52219,0.83512,0.98896,0.87733,0.91672,0.70494,0.83921,0.48191,0.86259,0.00048586,0.00048586,0.00048586
102,223.382,0.67904,0.54534,0.84819,0.97352,0.84127,0.91406,0.73319,0.78879,0.46968,0.85991,0.000476429,0.000476429,0.000476429
103,225.551,0.6262,0.49982,0.84471,0.96833,0.83987,0.90663,0.70797,0.78541,0.47342,0.84958,0.000466997,0.000466997,0.000466997
104,227.773,0.64688,0.51013,0.86452,0.97072,0.84127,0.90255,0.70133,0.73226,0.48502,0.83497,0.000457566,0.000457566,0.000457566
105,229.942,0.63843,0.51506,0.83483,0.97495,0.84127,0.89461,0.75085,0.67174,0.44716,0.8472,0.000448134,0.000448134,0.000448134
106,232.11,0.63913,0.51413,0.82464,0.98126,0.84127,0.90477,0.73704,0.71081,0.44739,0.84369,0.000438703,0.000438703,0.000438703
107,234.25,0.64614,0.52159,0.84989,0.93347,0.87211,0.89674,0.73199,0.65578,0.42637,0.83887,0.000429272,0.000429272,0.000429272
108,236.395,0.62058,0.48243,0.8433,0.93349,0.8745,0.89567,0.7465,0.68918,0.45594,0.84286,0.00041984,0.00041984,0.00041984
109,238.553,0.60985,0.49415,0.8321,0.98032,0.83668,0.8971,0.73396,0.72479,0.47773,0.83984,0.000410409,0.000410409,0.000410409
110,240.694,0.61701,0.48373,0.84,0.98494,0.84127,0.89878,0.73912,0.70053,0.47341,0.846,0.000400977,0.000400977,0.000400977
111,242.883,0.63749,0.50738,0.8508,0.9218,0.87831,0.89176,0.72666,0.69793,0.47517,0.83805,0.000391546,0.000391546,0.000391546
112,245.067,0.64375,0.51738,0.84983,0.96967,0.87831,0.89975,0.74605,0.65036,0.47023,0.84873,0.000382115,0.000382115,0.000382115
